doc_id,context,question,ground_truth,municipality
64,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",What is the maximum lot coverage for all buildings?,"30%",Saanich
65,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",For buildings and structures for single family dwelling what are the front lot line setback requirements?,7.5 m (24.6 ft),Saanich
66,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",For buildings and structures for single family dwelling what are the rear lot line setback requirements?,10.5 m (34.5 ft),Saanich
67,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",For buildings and structures for single family dwelling what are the exterior side lot line setback requirements?,4.5 m (14.7 ft),Saanich
68,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",What are the maximum height requirements for buildings and structures for single family dwelling?,"Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade",Saanich
69,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",What is the maximum floor space ratio for buildings and structures for single family dwelling?,"0.50",Saanich
70,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",What are the requirements for Houseplex Buildings?,Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”,Saanich
71,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",For accessory buildings and structures what are the front lot line setback requirements?,7.5 m (24.6 ft),Saanich
72,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",For accessory buildings and structures what are the rear lot line setback requirements?,1.5 m (4.9 ft),Saanich
73,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",For accessory buildings and structures what are the interior side lot line setback requirements?,3.0 m (9.8 ft),Saanich
74,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",For accessory buildings and structures what are the exterior side lot line setback requirements?,4.5 m (14.7 ft),Saanich
